# constant,binary01,binaryAB,categorical,count,continuous
helloworld,1,A,Y,5,0.2337937574638539
helloworld,1,A,Z,12,0.6681175270061286
helloworld,0,A,Y,12,0.01963441844063063
helloworld,0,A,Z,9,0.4186782137398044
helloworld,0,A,X,14,0.05051303932498907
helloworld,1,A,Z,13,0.0015739304022973633
helloworld,1,A,X,18,0.852330594517387
helloworld,0,A,Z,19,0.05475470964965967
helloworld,0,A,Z,11,0.26239047887698086
helloworld,1,A,Z,18,0.42836725532056064
helloworld,0,A,Y,5,0.19693876199033677
helloworld,1,A,Z,11,0.5551519262903963
helloworld,1,A,Y,10,0.6220221382238187
helloworld,0,A,Z,5,0.3426093967387317
helloworld,0,A,Z,6,0.6767931319609638
helloworld,1,A,Y,15,0.10936381799046346
helloworld,1,A,X,16,0.414249435075254
helloworld,1,A,Y,10,0.4166431514109604
helloworld,0,A,X,9,0.5075041174051329
helloworld,0,A,Y,7,0.4501959550162079
helloworld,0,A,Y,16,0.47353652694785797
helloworld,0,A,Z,9,0.4694931147520104
helloworld,0,A,Z,15,0.08315043415058432
helloworld,1,A,X,16,0.3560056139839407
helloworld,1,A,Y,17,0.666081915237897
helloworld,1,A,X,15,0.14318748619509292
helloworld,0,A,X,7,0.6833508058870318
helloworld,0,A,X,18,0.3338875569568246
helloworld,0,A,Y,13,0.3710613236617213
helloworld,0,A,X,13,0.6170743663696158
helloworld,0,A,X,12,0.34452625385067737
helloworld,1,A,Y,7,0.25099881832028037
helloworld,1,A,Z,10,0.42673967719130146
helloworld,1,A,Y,6,0.4126627974809327
helloworld,0,A,Z,14,0.2490963866366982
helloworld,1,A,Y,19,0.15355872643922974
helloworld,0,A,Y,11,0.8471212528974796
helloworld,1,A,Z,11,0.708574192439385
helloworld,0,A,Z,11,0.7476762736104795
helloworld,0,A,Y,15,0.08300633599278961
helloworld,1,A,Z,17,0.8718539587812365
helloworld,1,A,X,15,0.27041501009149393
helloworld,0,A,Y,11,0.665917792312378
helloworld,1,A,Z,13,0.6292385831706903
helloworld,0,A,Z,14,0.44891488070576524
helloworld,1,A,Y,10,0.09370164271408588
helloworld,0,A,Y,13,0.19218548472529506
helloworld,1,A,X,13,0.908348070152185
helloworld,1,A,Y,5,0.22107666854987407
helloworld,1,A,X,12,0.6831303094045212
helloworld,1,A,X,13,0.9212860719646699
helloworld,0,A,Y,12,0.8117272980268574
helloworld,1,A,X,15,0.38221908949514194
helloworld,0,A,Y,15,0.38416125830945747
helloworld,0,A,X,13,0.04944867584126722
helloworld,0,A,Z,6,0.20654299178396363
helloworld,0,A,Z,18,0.15238118463004058
helloworld,1,A,Z,6,0.5746239078367038
helloworld,1,A,X,7,0.8697213230180453
helloworld,1,A,Y,14,0.5229957191624184
helloworld,1,A,Z,11,0.014615422716612314
helloworld,1,A,Z,11,0.9374612700306784
helloworld,1,A,X,8,0.2253970303358548
helloworld,0,A,X,12,0.7575424651732013
helloworld,0,A,X,8,0.12093154657105243
helloworld,1,A,Z,10,0.5660114765275438
helloworld,1,A,X,17,0.9378900683082563
helloworld,0,A,Y,16,0.9632501743852551
helloworld,1,A,Z,7,0.9676174068010829
helloworld,1,A,Z,19,0.9851598202898205
helloworld,1,A,Z,14,0.48247383386329257
helloworld,0,A,Y,11,0.028974061604504775
helloworld,0,A,X,9,0.378896926448243
helloworld,1,A,X,9,0.6485551391932659
helloworld,1,A,Z,5,0.691204330006595
helloworld,0,A,Z,13,0.7571628317847058
helloworld,1,A,Z,19,0.5742041030811608
helloworld,0,A,Y,10,0.4686306883867929
helloworld,1,A,Z,17,0.16681869998658216
helloworld,0,A,Y,17,0.2744932844127288
helloworld,0,A,Y,16,0.19253648112907007
helloworld,0,A,X,12,0.008795000314762658
helloworld,0,A,X,8,0.6018575344741209
helloworld,1,A,Z,5,0.9202977025603007
helloworld,0,A,Y,17,0.5098651727163382
helloworld,1,A,X,17,0.0015850970260722352
helloworld,1,A,Z,19,0.11039834920051594
helloworld,0,A,X,16,0.3275157744792414
helloworld,1,A,Z,9,0.8745318797630246
helloworld,0,A,Y,13,0.5365704696609179
helloworld,1,A,X,16,0.15809641497512616
helloworld,1,A,Y,12,0.24811544695220444
helloworld,0,A,X,11,0.34749518886793607
helloworld,1,A,Z,8,0.2675987022716877
helloworld,0,A,Y,17,0.9064147816338544
helloworld,1,A,X,9,0.14933739870567342
helloworld,0,A,X,12,0.4257047790287307
helloworld,1,A,X,5,0.9806180641106382
helloworld,0,A,X,18,0.21426808353101945
helloworld,0,A,Z,17,0.2740448141071312
helloworld,0,A,Z,7,0.8305261889823647
helloworld,1,A,X,7,0.47502249612076475
helloworld,0,A,Z,10,0.6360936958526454
helloworld,1,A,X,10,0.47733890221906694
helloworld,0,A,Z,14,0.8467178876731658
helloworld,0,A,Y,11,0.9741196326761677
helloworld,1,A,Z,11,0.7819618123573374
helloworld,0,A,Y,12,0.6528069542197749
helloworld,1,A,X,9,0.94004173158964
helloworld,1,A,Z,7,0.5725154354388732
helloworld,0,A,Y,15,0.7511531648837438
helloworld,1,A,Y,16,0.6578481033371565
helloworld,0,A,Y,19,0.00710343500591637
helloworld,1,A,Y,17,0.6119293233569483
helloworld,0,A,Y,11,0.8109570723120583
helloworld,1,A,X,10,0.4893430953356688
helloworld,1,A,Z,9,0.8755240569430885
helloworld,0,A,X,13,0.22762923706172744
helloworld,0,A,X,13,0.074826449628967
helloworld,0,A,Y,12,0.129428612496997
helloworld,1,A,X,18,0.33625035568474515
helloworld,1,A,X,5,0.06536483856685005
helloworld,0,A,X,16,0.5472032723729214
helloworld,1,A,X,18,0.4932522177415317
helloworld,0,A,Z,7,0.6906112934947992
helloworld,0,A,Y,13,0.017134414269732723
